event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,biketime_sec_outlier,t2time_sec_outlier,bike_pace_s_per_km_outlier,swim_pace_s_per_100m_outlier,bike_speed_kmh_outlier,swimtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,runtime_sec_outlier
162511,526355,115542,Claire Cashmore,Great Britain,FINISH,1.0,00:11:14,00:01:17,00:31:33,00:01:01,00:19:58,01:05:01,PTS5 Women,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,674.0,77.0,1893.0,61.0,1198.0,3901.0,,,,False,674.0,3901.0,3903.0,3903.0,674.0,-2.0,Unknown,,,,,,1:05:01,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
163470,544229,85170,Grace Norman,United States,FINISH,1.0,00:11:02,00:01:26,00:31:03,00:01:09,00:18:10,01:02:50,PTS5 Women,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,662.0,86.0,1863.0,69.0,1090.0,3770.0,,,,False,662.0,3770.0,3770.0,3770.0,662.0,0.0,Sprint,88.26666666666667,93.15,218.0,38.64734299516908,24.01433816425121,1:02:50,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163473,545486,85170,Grace Norman,United States,FINISH,1.0,00:11:46,00:01:10,00:37:01,00:01:31,00:19:00,01:10:29,PTS5 Women,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,706.0,70.0,2221.0,91.0,1140.0,4229.0,,,,False,706.0,4229.0,4228.0,4228.0,706.0,1.0,Sprint,,,,,,1:10:29,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163473,545486,115542,Claire Cashmore,Great Britain,FINISH,2.0,00:11:45,00:01:01,00:37:08,00:01:20,00:21:10,01:12:25,PTS5 Women,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,705.0,61.0,2228.0,80.0,1270.0,4345.0,,,,False,705.0,4345.0,4344.0,4344.0,705.0,1.0,Sprint,,,,,,1:12:25,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163473,545486,111973,Kamylle Frenette,Canada,FINISH,3.0,00:11:49,00:01:11,00:38:32,00:01:21,00:21:57,01:14:51,PTS5 Women,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,709.0,71.0,2312.0,81.0,1317.0,4491.0,,,,False,709.0,4491.0,4490.0,4490.0,709.0,1.0,Sprint,,,,,,1:14:51,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163485,545442,115542,Claire Cashmore,Great Britain,FINISH,2.0,00:11:47,00:00:59,00:34:43,00:00:56,00:19:44,01:08:11,PTS5 Women,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,707.0,59.0,2083.0,56.0,1184.0,4091.0,,,,False,707.0,4091.0,4089.0,4089.0,707.0,2.0,Sprint,94.26666666666667,100.14423076923076,234.45544554455446,35.94815170427269,22.337138972635625,1:08:11,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
163485,545442,85170,Grace Norman,United States,FINISH,1.0,00:12:09,00:00:52,00:34:27,00:00:59,00:17:52,01:06:21,PTS5 Women,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,729.0,52.0,2067.0,59.0,1072.0,3981.0,,,,False,729.0,3981.0,3979.0,3979.0,729.0,2.0,Sprint,97.2,99.375,212.2772277227723,36.22641509433962,22.510043773584904,1:06:21,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
163485,545442,111973,Kamylle Frenette,Canada,FINISH,3.0,00:12:39,00:01:03,00:37:09,00:00:58,00:19:57,01:11:49,PTS5 Women,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,759.0,63.0,2229.0,58.0,1197.0,4309.0,,,,False,759.0,4309.0,4306.0,4306.0,759.0,3.0,Sprint,101.2,107.16346153846153,237.02970297029705,33.5935397039031,20.87405135935397,1:11:49,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
166221,553020,111973,Kamylle Frenette,Canada,FINISH,2.0,00:10:46,00:00:49,00:37:12,00:00:34,00:20:28,01:09:45,PTS5 Women,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,646.0,49.0,2232.0,34.0,1228.0,4185.0,,,,False,646.0,4185.0,4189.0,4189.0,646.0,-4.0,Sprint,86.13333333333334,99.2,245.6,36.29032258064516,22.549754032258065,1:09:45,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553020,85170,Grace Norman,United States,FINISH,1.0,00:10:40,00:00:54,00:35:24,00:00:55,00:17:54,01:05:45,PTS5 Women,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,640.0,54.0,2124.0,55.0,1074.0,3945.0,,,,False,640.0,3945.0,3947.0,3947.0,640.0,-2.0,Sprint,85.33333333333333,94.4,214.8,38.13559322033898,23.696351694915254,1:05:45,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
