C:\Users\johnk\VSCode\triathlon-db\.venv\Lib\site-packages\mlflow\tracking\_tracking_service\utils.py:184: FutureWarning: The filesystem tracking backend (e.g., './mlruns') is deprecated as of February 2026. Consider transitioning to a database backend (e.g., 'sqlite:///mlflow.db') to take advantage of the latest MLflow features. See https://mlflow.org/docs/latest/self-hosting/migrate-from-file-store for migration guidance.
  return FileStore(store_uri, store_uri)
2026-07-02 12:38:26 | INFO | __main__ | 
2026-07-02 12:39:09 | INFO | tri_analysis.prediction.features | Built features for 55 athletes in ProgramKey(event_id=127481, prog_id=335270)
2026-07-02 12:39:09 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131336, prog_id=336634), event_date=2019-03-09, distance=, elite_only=True
2026-07-02 12:39:10 | INFO | tri_analysis.prediction.features | Built features for 22 athletes in ProgramKey(event_id=131336, prog_id=336634)
2026-07-02 12:39:10 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131341, prog_id=336654), event_date=2019-03-09, distance=, elite_only=True
2026-07-02 12:39:11 | INFO | tri_analysis.prediction.features | Built features for 36 athletes in ProgramKey(event_id=131341, prog_id=336654)
2026-07-02 12:39:11 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131341, prog_id=336653), event_date=2019-03-09, distance=, elite_only=True
2026-07-02 12:39:14 | INFO | tri_analysis.prediction.features | Built features for 68 athletes in ProgramKey(event_id=131341, prog_id=336653)
2026-07-02 12:39:14 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=130106, prog_id=335276), event_date=2019-03-16, distance=, elite_only=True
2026-07-02 12:39:17 | INFO | tri_analysis.prediction.features | Built features for 46 athletes in ProgramKey(event_id=130106, prog_id=335276)
2026-07-02 12:39:17 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=130106, prog_id=335275), event_date=2019-03-16, distance=, elite_only=True
2026-07-02 12:39:21 | INFO | tri_analysis.prediction.features | Built features for 64 athletes in ProgramKey(event_id=130106, prog_id=335275)
2026-07-02 12:39:21 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131344, prog_id=336673), event_date=2019-03-16, distance=, elite_only=True
2026-07-02 12:39:23 | INFO | tri_analysis.prediction.features | Built features for 33 athletes in ProgramKey(event_id=131344, prog_id=336673)
2026-07-02 12:39:23 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131346, prog_id=336748), event_date=2019-03-23, distance=, elite_only=True
2026-07-02 12:39:24 | INFO | tri_analysis.prediction.features | Built features for 12 athletes in ProgramKey(event_id=131346, prog_id=336748)
2026-07-02 12:39:24 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131346, prog_id=336747), event_date=2019-03-23, distance=, elite_only=True
2026-07-02 12:39:26 | INFO | tri_analysis.prediction.features | Built features for 29 athletes in ProgramKey(event_id=131346, prog_id=336747)
2026-07-02 12:39:26 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131191, prog_id=335280), event_date=2019-03-24, distance=, elite_only=True
2026-07-02 12:39:27 | INFO | tri_analysis.prediction.features | Built features for 23 athletes in ProgramKey(event_id=131191, prog_id=335280)
2026-07-02 12:39:27 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131374, prog_id=336752), event_date=2019-03-24, distance=, elite_only=True
2026-07-02 12:39:29 | INFO | tri_analysis.prediction.features | Built features for 48 athletes in ProgramKey(event_id=131374, prog_id=336752)
2026-07-02 12:39:29 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131374, prog_id=336751), event_date=2019-03-24, distance=, elite_only=True
2026-07-02 12:39:32 | INFO | tri_analysis.prediction.features | Built features for 67 athletes in ProgramKey(event_id=131374, prog_id=336751)
2026-07-02 12:39:32 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131347, prog_id=336763), event_date=2019-03-30, distance=, elite_only=True
2026-07-02 12:39:33 | INFO | tri_analysis.prediction.features | Built features for 16 athletes in ProgramKey(event_id=131347, prog_id=336763)
2026-07-02 12:39:33 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131192, prog_id=336756), event_date=2019-03-30, distance=, elite_only=True
2026-07-02 12:39:34 | INFO | tri_analysis.prediction.features | Built features for 10 athletes in ProgramKey(event_id=131192, prog_id=336756)
2026-07-02 12:39:34 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131192, prog_id=336755), event_date=2019-03-30, distance=, elite_only=True
2026-07-02 12:39:35 | INFO | tri_analysis.prediction.features | Built features for 35 athletes in ProgramKey(event_id=131192, prog_id=336755)
2026-07-02 12:39:35 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131347, prog_id=336762), event_date=2019-03-30, distance=, elite_only=True
2026-07-02 12:39:37 | INFO | tri_analysis.prediction.features | Built features for 40 athletes in ProgramKey(event_id=131347, prog_id=336762)
2026-07-02 12:39:37 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=130107, prog_id=336479), event_date=2019-03-31, distance=, elite_only=True
2026-07-02 12:39:42 | INFO | tri_analysis.prediction.features | Built features for 66 athletes in ProgramKey(event_id=130107, prog_id=336479)
2026-07-02 12:39:42 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=130107, prog_id=336480), event_date=2019-03-31, distance=, elite_only=True
2026-07-02 12:39:45 | INFO | tri_analysis.prediction.features | Built features for 49 athletes in ProgramKey(event_id=130107, prog_id=336480)
2026-07-02 12:39:45 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131248, prog_id=336766), event_date=2019-04-07, distance=, elite_only=True
2026-07-02 12:39:48 | INFO | tri_analysis.prediction.features | Built features for 71 athletes in ProgramKey(event_id=131248, prog_id=336766)
2026-07-02 12:39:49 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131248, prog_id=336767), event_date=2019-04-07, distance=, elite_only=True
2026-07-02 12:39:50 | INFO | tri_analysis.prediction.features | Built features for 47 athletes in ProgramKey(event_id=131248, prog_id=336767)
2026-07-02 12:39:50 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131375, prog_id=336771), event_date=2019-04-07, distance=, elite_only=True
2026-07-02 12:39:53 | INFO | tri_analysis.prediction.features | Built features for 41 athletes in ProgramKey(event_id=131375, prog_id=336771)
2026-07-02 12:39:53 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131375, prog_id=336770), event_date=2019-04-07, distance=, elite_only=True
2026-07-02 12:39:56 | INFO | tri_analysis.prediction.features | Built features for 65 athletes in ProgramKey(event_id=131375, prog_id=336770)
2026-07-02 12:39:56 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=135388, prog_id=343626), event_date=2019-04-14, distance=, elite_only=True
2026-07-02 12:39:59 | INFO | tri_analysis.prediction.features | Built features for 64 athletes in ProgramKey(event_id=135388, prog_id=343626)
2026-07-02 12:39:59 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=135388, prog_id=343627), event_date=2019-04-14, distance=, elite_only=True
2026-07-02 12:40:00 | INFO | tri_analysis.prediction.features | Built features for 29 athletes in ProgramKey(event_id=135388, prog_id=343627)
2026-07-02 12:40:01 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131249, prog_id=336597), event_date=2019-04-14, distance=, elite_only=True
2026-07-02 12:40:02 | INFO | tri_analysis.prediction.features | Built features for 29 athletes in ProgramKey(event_id=131249, prog_id=336597)
2026-07-02 12:40:02 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131249, prog_id=336596), event_date=2019-04-14, distance=, elite_only=True
2026-07-02 12:40:04 | INFO | tri_analysis.prediction.features | Built features for 64 athletes in ProgramKey(event_id=131249, prog_id=336596)
2026-07-02 12:40:04 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131676, prog_id=338004), event_date=2019-04-20, distance=, elite_only=True
2026-07-02 12:40:05 | INFO | tri_analysis.prediction.features | Built features for 20 athletes in ProgramKey(event_id=131676, prog_id=338004)
2026-07-02 12:40:06 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131676, prog_id=338003), event_date=2019-04-20, distance=, elite_only=True
2026-07-02 12:40:08 | INFO | tri_analysis.prediction.features | Built features for 47 athletes in ProgramKey(event_id=131676, prog_id=338003)
2026-07-02 12:40:08 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131348, prog_id=336777), event_date=2019-04-21, distance=, elite_only=True
2026-07-02 12:40:09 | INFO | tri_analysis.prediction.features | Built features for 32 athletes in ProgramKey(event_id=131348, prog_id=336777)
2026-07-02 12:40:09 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131348, prog_id=336778), event_date=2019-04-21, distance=, elite_only=True
2026-07-02 12:40:10 | INFO | tri_analysis.prediction.features | Built features for 16 athletes in ProgramKey(event_id=131348, prog_id=336778)
2026-07-02 12:40:10 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131678, prog_id=338013), event_date=2019-04-27, distance=, elite_only=True
2026-07-02 12:40:11 | INFO | tri_analysis.prediction.features | Built features for 19 athletes in ProgramKey(event_id=131678, prog_id=338013)
2026-07-02 12:40:11 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=127482, prog_id=336782), event_date=2019-04-27, distance=, elite_only=True
2026-07-02 12:40:16 | INFO | tri_analysis.prediction.features | Built features for 53 athletes in ProgramKey(event_id=127482, prog_id=336782)
2026-07-02 12:40:16 | INFO | tri_analysis.prediction.features | Building features for ProgramKey(event_id=131377, prog_id=336791), event_date=2019-04-27, distance=, elite_only=True
