event_id,prog_id,event_name,tier,distance,error_type,athlete_id,athlete_full_name,predicted_rank,actual_rank,rank_error,pred_total_sec,actual_total_sec,pred_finish_pct,n_field,event_p10
194853,674138,2025 World Triathlon Championship Series Weihai,1a,standard,missed,74402,,16,6,10,6855.17909124408,6794.0,0.5938079919175576,27,0.9
194853,674138,2025 World Triathlon Championship Series Weihai,1a,standard,false_alarm,80813,,3,20,-17,7081.109841841375,7005.0,0.2529897914958552,27,0.9
188992,674811,2025 World Triathlon Championship Finals Wollongong,1a,standard,missed,70032,,18,6,12,6263.227217694268,6227.0,0.4454470926910937,49,0.7
188992,674811,2025 World Triathlon Championship Finals Wollongong,1a,standard,missed,107730,,21,3,18,6325.006190598351,6202.0,0.46290896177110386,49,0.7
188992,674811,2025 World Triathlon Championship Finals Wollongong,1a,standard,missed,98130,,19,7,12,6373.948102467621,6234.0,0.3494837616828411,49,0.7
188992,674811,2025 World Triathlon Championship Finals Wollongong,1a,standard,false_alarm,98121,,7,15,-8,6193.585234760418,6285.0,0.2098502992407421,49,0.7
188992,674811,2025 World Triathlon Championship Finals Wollongong,1a,standard,false_alarm,49390,,4,17,-13,6209.008213010953,6289.0,0.13913258849513332,49,0.7
188992,674811,2025 World Triathlon Championship Finals Wollongong,1a,standard,false_alarm,55495,,9,16,-7,6232.173529394384,6287.0,0.2854692429860263,49,0.7
188992,674812,2025 World Triathlon Championship Finals Wollongong,1a,standard,missed,132753,,13,6,7,7023.711906915049,7060.0,0.4173548096557404,35,0.7
188992,674812,2025 World Triathlon Championship Finals Wollongong,1a,standard,missed,31827,,18,8,10,6981.66930025333,7069.0,0.6016371571028304,35,0.7
188992,674812,2025 World Triathlon Championship Finals Wollongong,1a,standard,missed,104333,,25,5,20,7037.619671220264,7048.0,0.6454878400593067,35,0.7
188992,674812,2025 World Triathlon Championship Finals Wollongong,1a,standard,false_alarm,117212,,2,16,-14,6821.413287698515,7145.0,0.11168086522997303,35,0.7
188992,674812,2025 World Triathlon Championship Finals Wollongong,1a,standard,false_alarm,56557,,4,21,-17,6821.956938070735,7213.0,0.13611005373800028,35,0.7
188992,674812,2025 World Triathlon Championship Finals Wollongong,1a,standard,false_alarm,80813,,7,22,-15,7045.730829927368,7218.0,0.348868182875794,35,0.7
194221,674204,2025 T100 Triathlon World Tour London,1b,middle_distance,missed,49022,,15,4,11,12424.496637856962,12032.0,0.678908673988954,18,0.8
194221,674204,2025 T100 Triathlon World Tour London,1b,middle_distance,missed,107663,,17,8,9,13165.902797980676,12117.0,0.6698053462905463,18,0.8
194221,674204,2025 T100 Triathlon World Tour London,1b,middle_distance,false_alarm,49108,,6,13,-7,12652.055341268871,12432.0,0.45176262679993756,18,0.8
194221,674204,2025 T100 Triathlon World Tour London,1b,middle_distance,false_alarm,41060,,11,14,-3,13058.761928741518,12620.0,0.5562408138242483,18,0.8
194221,674205,2025 T100 Triathlon World Tour London,1b,middle_distance,missed,11879,,13,8,5,13292.134753605622,13457.0,0.5780779788368815,16,0.9
194221,674205,2025 T100 Triathlon World Tour London,1b,middle_distance,false_alarm,49545,,4,12,-8,6307.645023696683,13821.0,0.36801440639879546,16,0.9
194697,674201,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,missed,88205,,12,3,9,3559.5478672985787,11647.0,0.5839338491128545,19,0.8
194697,674201,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,missed,107663,,17,8,9,12472.635850243012,11910.0,0.6315378484019577,19,0.8
194697,674201,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,false_alarm,63162,,2,11,-9,12247.016200343223,12023.0,0.17856656596751322,19,0.8
194697,674201,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,false_alarm,68903,,5,12,-7,11504.489161328598,12149.0,0.3469990190772858,19,0.8
194697,674202,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,missed,176057,,12,10,2,14386.366261895895,13725.0,0.4404671346249365,19,0.8
194697,674202,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,missed,176740,,14,8,6,14817.405977738415,13566.0,0.49134908298412,19,0.8
194697,674202,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,false_alarm,39835,,8,14,-6,6578.276303317535,14016.0,0.44423348804731627,19,0.8
194697,674202,2025 T100 Triathlon World Tour French Riviera,1b,middle_distance,false_alarm,82486,,9,11,-2,14135.592055809055,13940.0,0.433601081662643,19,0.8
194222,674236,2025 T100 Triathlon World Tour Oropesa,1b,middle_distance,missed,49022,,11,8,3,13323.03076923077,11725.0,0.4681143556394831,17,0.8
194222,674236,2025 T100 Triathlon World Tour Oropesa,1b,middle_distance,missed,67535,,14,3,11,6099.056872037915,11523.0,0.6260187212154369,17,0.8
