tag,desc,lab_end,lab_live,peak,lam,pcr,phm,phm_min
baseline,unmodified (original sim),6.376720152477019,6.496678620322628,8.367921778786712,6.524349607262863,16.43153743533493,6.885290960599832,6.761084763894014
4easy_75,final 4 min @ 75%,4.605812749212971,4.740378282435306,8.367921778786712,4.599148656791256,17.04503114725804,6.94275910745184,6.761084763894014
4easy_60,final 4 min @ 60%,4.569059481861165,4.696417881987988,8.367921778786712,4.547102429880293,17.31682017266877,6.95381750625562,6.761084763894014
3easy_50,final 3 min @ 50%,4.90791196270432,5.028224241707142,8.367921778786712,4.878572070761249,17.43320886967673,6.952428524549163,6.761084763894014
6easy_75,final 6 min @ 75%,2.87550940933394,2.986734836217668,8.367921778786712,2.868697810693657,17.62500055153125,6.985697602034101,6.761084763894014
