event_class,teams,medal_teams,avg_finish,fully_individual_matched_teams,all_individual_top2_rate,avg_individual_country_rank,avg_prior_365_country_rank,slot_count,individual_slot_top2_rate,prior_365_slot_top2_rate
World Championship Level,146,29,8.815068493150685,72,0.3013698630136986,1.6273148148148149,5.881849315068493,584,0.6986301369863014,0.2773972602739726
WTCS,79,18,7.734177215189874,37,0.24050632911392406,1.6458333333333333,6.665611814345992,316,0.6518987341772152,0.1962025316455696
Continental Championship,77,36,4.701298701298701,31,0.24675324675324675,1.5536529680365296,4.123873873873874,308,0.6590909090909091,0.32142857142857145
Major Games,57,13,7.456140350877193,28,0.38596491228070173,1.443939393939394,4.897660818713451,228,0.7719298245614035,0.40789473684210525
Other,19,3,10.0,0,0.0,,5.618421052631579,76,0.0,0.2631578947368421
Olympic Qualifier,15,6,4.4,1,0.0,1.35,4.044444444444444,60,0.5666666666666667,0.48333333333333334
Cup,3,2,2.6666666666666665,1,0.3333333333333333,4.666666666666667,10.916666666666666,12,0.5,0.16666666666666666
Club Championship,2,0,4.0,0,0.0,,14.5,8,0.0,0.0
