==========================================================================================
Bundle: models/bundle_elite_v45.joblib  (version: v1.0)
  86 full features, 56 split features
==========================================================================================

--- ranker_lgbm  (top 40) ---
                    feature ranker_lgbm
                   elo_peak       4.35%
                 tier_delta       3.72%
                 elo_rating       3.55%
               h2h_win_rate       3.21%
       h2h_avg_position_gap       3.14%
      h2h_n_opponents_faced       3.04%
           wt_rank_position       2.91%
       ema_bike_split_pct_5       2.14%
        ema_run_split_pct_5       2.07%
            ema_bike_pack_7       1.81%
          ema_t2_rank_pct_5       1.81%
          ema_t1_rank_pct_5       1.79%
            seed_total_rank       1.77%
            std_run_sec_24m       1.74%
      ema_finish_pct_sprint       1.73%
ema_swim_to_t1_pos_change_5       1.70%
               ema_t2_sec_5       1.70%
           ema_perf_ratio_5       1.69%
             ema_swim_sec_5       1.65%
           std_swim_sec_24m       1.63%
          std_total_sec_24m       1.63%
                  elo_races       1.60%
      ema_finish_pct_tier34       1.57%
ema_bike_to_t2_pos_change_5       1.54%
           std_t1t2_sec_24m       1.51%
         h2h_n_shared_races       1.47%
       days_since_last_race       1.46%
               ema_t1_sec_5       1.46%
         ema_swim_pos_pct_7       1.46%
         ema_bike_pos_pct_7       1.45%
    ema_finish_pct_standard       1.45%
          athlete_t1t2_rate       1.37%
              form_momentum       1.37%
         ema_bike_gap_sec_7       1.35%
                 form_trend       1.33%
     seed_total_gap_to_best       1.31%
            wt_total_points       1.29%
 ema_run_split_pct_tier12_5       1.26%
           std_bike_sec_24m       1.24%
       ema_swim_split_pct_5       1.22%

--- ranker_xgb  (top 40) ---
                    feature ranker_xgb
       h2h_avg_position_gap     20.23%
               h2h_win_rate     16.98%
                 elo_rating      2.92%
                   elo_peak      2.33%
                 event_tier      2.14%
           wt_rank_position      1.89%
                 tier_delta      1.52%
            wt_total_points      1.35%
                 n_entrants      1.09%
              ema_run_sec_5      1.05%
                  bike_laps      1.05%
      ema_finish_pct_tier34      1.04%
             ema_swim_sec_5      0.95%
          athlete_t1t2_rate      0.95%
           std_swim_pct_24m      0.92%
            races_tier1_24m      0.89%
       ema_bike_split_pct_5      0.85%
                   run_laps      0.84%
            n_races_at_tier      0.82%
ema_bike_split_pct_tier12_5      0.80%
           std_t1t2_sec_24m      0.79%
        p90_swim_gap_leader      0.76%
     field_depth_top10_mean      0.75%
         ema_bike_gap_sec_7      0.74%
       days_since_last_race      0.74%
            n_matched_races      0.74%
            std_run_pct_24m      0.73%
         h2h_n_shared_races      0.73%
            front_pack_rate      0.72%
         ema_bike_pos_pct_7      0.70%
         ema_swim_gap_sec_7      0.70%
      h2h_n_opponents_faced      0.69%
           std_swim_sec_24m      0.68%
       ema_swim_split_pct_5      0.68%
                  races_12m      0.66%
            std_run_sec_24m      0.66%
            ema_bike_pack_7      0.66%
       ema_finish_pct_tier1      0.66%
 ema_run_split_pct_tier12_5      0.66%
        avg_swim_gap_leader      0.65%

--- pct_total  (top 40) ---
                    feature pct_total
                 elo_rating     5.33%
     field_depth_top10_mean     3.38%
               h2h_win_rate     2.63%
           wt_rank_position     2.55%
                  elo_races     2.53%
                   elo_peak     2.26%
                 n_entrants     2.25%
      ema_finish_pct_sprint     1.76%
ema_bike_to_t2_pos_change_5     1.69%
                 tier_delta     1.65%
       h2h_avg_position_gap     1.62%
            wt_total_points     1.57%
       days_since_last_race     1.55%
              form_momentum     1.54%
          ema_t2_rank_pct_5     1.49%
            std_run_pct_24m     1.45%
                 event_tier     1.43%
ema_swim_to_t1_pos_change_5     1.43%
          ema_t1_rank_pct_5     1.42%
       ema_bike_split_pct_5     1.42%
         h2h_n_shared_races     1.35%
              apparent_temp     1.35%
       ema_finish_pct_tier2     1.35%
        ema_run_split_pct_5     1.35%
           std_swim_sec_24m     1.33%
           std_swim_pct_24m     1.32%
            seed_total_rank     1.32%
           std_t1t2_sec_24m     1.30%
    ema_finish_pct_standard     1.30%
         ema_bike_pos_pct_7     1.27%
           std_bike_pct_24m     1.25%
      h2h_n_opponents_faced     1.23%
       ema_finish_pct_tier1     1.22%
 ema_run_split_pct_tier12_5     1.20%
            temperature_air     1.18%
ema_bike_split_pct_tier12_5     1.15%
            std_run_sec_24m     1.15%
           ema_perf_ratio_5     1.11%
            cloud_cover_pct     1.11%
             wind_speed_kmh     1.10%

--- reg_total  (top 40) ---
                  feature reg_total
   field_depth_top10_mean     6.93%
               n_entrants     5.82%
          temperature_air     5.27%
distance_category_encoded     4.89%
                 humidity     3.80%
           wind_speed_kmh     3.78%
                     wbgt     3.52%
               elo_rating     3.45%
          ema_total_sec_5     3.14%
          cloud_cover_pct     3.09%
            wind_gust_kmh     3.07%
            apparent_temp     2.89%
            ema_run_sec_5     2.50%
                elo_races     2.46%
                bike_laps     1.91%
           ema_swim_sec_5     1.84%
           ema_bike_sec_5     1.32%
               event_tier     1.30%
                 elo_peak     1.23%
             h2h_win_rate     1.20%
               tier_delta     1.16%
             ema_t1_sec_5     1.04%
             ema_t2_sec_5     1.01%
    h2h_n_opponents_faced     0.99%
     h2h_avg_position_gap     0.94%
          seed_total_rank     0.92%
                 run_laps     0.90%
         std_swim_sec_24m     0.87%
     days_since_last_race     0.87%
         precipitation_mm     0.83%
     ema_bike_split_pct_5     0.78%
       h2h_n_shared_races     0.78%
       ema_swim_pos_pct_7     0.76%
      avg_bike_gap_leader     0.75%
       ema_distance_match     0.75%
          std_run_sec_24m     0.73%
           ema_t1t2_sec_5     0.73%
        ema_t2_rank_pct_5     0.73%
     std_swim_gap_sec_24m     0.73%
         wt_rank_position     0.71%

--- reg_swim  (top 40) ---
                  feature reg_swim
   field_depth_top10_mean    7.66%
          temperature_air    6.16%
