event_id,prog_id,event_name,event_class,event_date,country,team_finish,relay_athletes,women,men,matched_individual_slots,individual_top2_slots,individual_top3_slots,avg_individual_country_rank,matched_prior_365_slots,prior_365_top2_slots,prior_365_top3_slots,avg_prior_365_country_rank,avg_prior_365_form_score,medal_team,all_individual_top2,all_individual_top3,all_prior_365_top2,all_prior_365_top3
195266,677455,2026 Americas Triathlon Cup and South Americas Triathlon Championships Formosa,Continental Championship,2026-02-28,Chile,1,Barbara Riveros | Daniel Ubilla Sabada | Daniela Moya Chamorro | Mateo Mendoza Burgos,2,2,4,4,4,1.5,4,1,2,4.25,0.5884156641771632,True,True,True,False,False
195266,677455,2026 Americas Triathlon Cup and South Americas Triathlon Championships Formosa,Continental Championship,2026-02-28,Brazil,2,Antonio Bravo Neto | Giovanna Lacerda | Julia Visgueiro | Kauê Willy,2,2,4,4,4,1.5,4,0,1,4.25,0.5389859309900771,True,True,True,False,False
195266,677455,2026 Americas Triathlon Cup and South Americas Triathlon Championships Formosa,Continental Championship,2026-02-28,Argentina,3,Bautista Arbizu | Gerónimo Dherete | María Emilia Vargas | Moira Miranda,2,2,4,3,4,1.75,4,1,2,4.25,0.3506876551893631,True,False,True,False,False
195266,677455,2026 Americas Triathlon Cup and South Americas Triathlon Championships Formosa,Continental Championship,2026-02-28,Paraguay,5,Ana Victoria Portillo Prono | David Jose Pardo Benitez | Emilio Roosevelt Benitez Núñez | Lara Estefania Escauriza Meilicke,2,2,2,2,2,1.5,1,1,1,1.0,0.0,False,False,False,False,False
194744,676367,2025 Asia Triathlon Cup Gamagori,Cup,2025-09-20,"Hong Kong, China",1,Bailee Brown | Oscar Coggins | Robin Elg | Yan Yin Hilda Choi,2,2,4,4,4,1.5,4,1,2,4.0,0.47766066689596803,True,True,True,False,False
194744,676367,2025 Asia Triathlon Cup Gamagori,Cup,2025-09-20,China,3,Can Su | Jirong Dong | Kaiye Mai | Like Huang,2,2,2,2,2,1.5,4,0,0,19.75,0.39695141344434703,True,False,False,False,False
194744,676367,2025 Asia Triathlon Cup Gamagori,Cup,2025-09-20,Japan,4,Kanade Sugiura | Noi Wakatake | Touki Maeda | Yukiho Okuma,2,2,2,0,0,11.0,2,1,1,9.0,0.6757852077001013,False,False,False,False,False
194939,674783,2025 Europe Triathlon Sprint and Relay Championships Melilla,World Championship Level,2025-07-19,Italy,1,Alessio Crociani | Bianca Seregni | Carlotta Missaglia | Euan De Nigro,2,2,4,4,4,1.5,4,0,1,7.75,0.6962995575704696,True,True,True,False,False
194939,674783,2025 Europe Triathlon Sprint and Relay Championships Melilla,World Championship Level,2025-07-19,Hungary,3,Fanni Szalai | Gyula Kovács | Márta Kropkó | Márton Kropkó,2,2,2,2,2,1.5,3,2,2,3.3333333333333335,0.7174373622839895,True,False,False,False,False
194939,674783,2025 Europe Triathlon Sprint and Relay Championships Melilla,World Championship Level,2025-07-19,Switzerland,4,Cathia Schär | Max Studer | Rebecca Beti | Simon Westermann,2,2,4,4,4,1.5,4,1,1,7.25,0.5466337375996387,False,True,True,False,False
