feature,ranker_lgbm,ranker_xgb,pct_total,reg_total,reg_swim,reg_bike,reg_run,middle_distance_swim,middle_distance_t1,middle_distance_bike,middle_distance_t2,middle_distance_run,middle_distance_swim_exit_pct,middle_distance_total,sprint_swim,sprint_t1,sprint_bike,sprint_t2,sprint_run,sprint_swim_exit_pct,sprint_total,standard_swim,standard_t1,standard_bike,standard_t2,standard_run,standard_swim_exit_pct,standard_total,super_sprint_swim,super_sprint_t1,super_sprint_bike,super_sprint_t2,super_sprint_run,super_sprint_swim_exit_pct,super_sprint_total,mean_pct,max_pct
field_depth_top10_mean,0.0,0.6164088478619723,1.7311608961303464,7.986406117247238,9.692914736661521,8.787983425414364,4.683434518647007,10.424028268551238,13.307984790874524,9.811529933481152,14.423076923076922,6.851851851851852,6.331168831168831,2.5201612903225805,29.397723099522587,36.30607814761216,24.175419200294822,30.475336322869957,12.862759782812208,6.743185078909613,1.5677966101694913,26.088617265087855,32.79002876318312,23.348433371083427,22.491974317817014,10.934470725087243,4.581710257837137,0.9285425918449738,20.995670995670995,11.522198731501057,22.349351639969488,10.582413399314808,18.61894432393348,5.585106382978723,1.7267267267267266,12.892588519014756,36.30607814761216
days_since_last_race,1.4138240574506284,0.49728575030172173,1.2729124236252547,0.9855564995751912,0.8406244638874593,0.8977900552486188,1.5437987857762359,4.240282685512367,5.3775122216186855,4.767184035476718,6.165158371040724,6.481481481481481,2.326839826839827,2.217741935483871,4.461990451707675,4.992764109985528,3.5378662244333885,4.968609865470852,3.4263246583036886,2.4390243902439024,2.9237288135593222,4.163483575248281,4.659635666347076,3.6240090600226504,4.153290529695024,2.791779759596743,2.893711741791875,2.9067420266451354,1.1904761904761905,1.4094432699083863,1.1823035850495804,1.8271792919680243,1.5907447577729574,2.0944148936170213,1.7267267267267266,2.91406406233968,6.481481481481481
ema_bike_to_t2_pos_change_5,1.4026032315978456,0.49968628084248706,1.1880515953835709,0.44180118946474084,0.39457882998799104,0.6560773480662984,0.5897658282740676,1.4134275618374559,2.6072786529060292,3.5476718403547673,2.941176470588235,3.0246913580246915,2.1645021645021645,9.67741935483871,1.3587954461990452,1.1215629522431259,1.4556845402616547,1.4887892376681615,1.8161392997566002,2.4031563845050217,6.9491525423728815,1.1650114591291063,0.7286673058485139,1.9441298603246508,1.4847512038523276,2.6560682435052345,2.5041736227045077,3.108599111828825,2.380952380952381,2.7131782945736433,2.555301296720061,2.854967643700038,3.398409255242227,3.6236702127659575,6.531531531531531,2.422612100924415,9.67741935483871
ema_run_sec_5,0.8752244165170557,0.5029116838008413,0.9504412763068567,2.259983007646559,1.5268485160404872,1.62292817679558,3.2437120555073724,3.297997644287397,2.2813688212927756,1.5521064301552108,2.092760180995475,4.506172839506172,2.5432900432900434,4.435483870967742,2.9746603011384503,2.206946454413893,3.5378662244333885,2.008968609865471,4.980340760157274,1.9727403156384504,5.338983050847458,2.0626432391138274,2.2435282837967403,2.6425066062665157,1.4245585874799358,3.4703373400542845,1.2613615284733817,3.875656035526847,1.479076479076479,1.1627906976744187,1.2204424103737606,0.9516558812333461,1.6992046276211135,2.0944148936170213,1.1261261261261262,2.3264582118867936,5.338983050847458
ema_swim_sec_5,1.5148114901256733,0.8247220089905474,0.7637474541751528,1.7332200509770603,2.195916966889689,1.6919889502762429,1.6652211621856028,2.237926972909305,2.1184139054861486,3.8248337028824833,1.809954751131222,1.9753086419753085,3.1926406926406927,2.721774193548387,3.1950055086301874,1.808972503617945,2.413856642712364,1.5246636771300448,3.313986144916682,2.4928263988522237,4.23728813559322,3.6860198624904505,2.4352828379674016,3.5485088712721784,2.126805778491172,2.811167119038387,2.3186792802819514,4.400484457004441,1.443001443001443,0.9161381254404511,1.1060259344012204,2.436239055957366,1.6992046276211135,2.1941489361702127,1.7267267267267266,2.2887289431860203,4.400484457004441
ema_run_split_pct_5,1.8402154398563735,0.6522311468152211,1.1371350984385609,0.713678844519966,0.8920912677989364,1.1049723756906076,1.8386816999132698,1.5312131919905771,2.7702335687126562,2.771618625277162,3.0542986425339365,3.7037037037037033,3.6255411255411256,1.9153225806451613,1.7994858611825193,1.410998552821997,2.321724709784411,1.345291479820628,2.9020782624976595,2.6004304160688667,2.3728813559322033,2.1199388846447667,1.1313518696069031,1.3967534918837297,1.3643659711075442,2.6560682435052345,2.4114264514932295,1.9378280177634235,3.0663780663780664,3.558844256518675,2.479023646071701,2.7027027027027026,3.7960954446854664,2.825797872340426,2.7777777777777777,2.1865194470292906,3.7960954446854664
ema_t1_sec_5,0.9986535008976661,0.42631016797744703,1.120162932790224,1.0195412064570943,0.6176016469377252,0.6906077348066298,0.8152645273200346,4.41696113074205,2.9875067897881586,2.827050997782705,1.9796380090497736,1.728395061728395,2.976190476190476,2.217741935483871,1.7627616599338967,2.1888567293777137,1.6215220195319697,2.5829596412556057,1.834862385321101,2.4748923959827835,2.415254237288136,1.5278838808250574,2.4352828379674016,2.32163080407701,1.6653290529695024,2.035672741372625,2.2630309775551845,1.8974566007266855,2.0202020202020203,2.6779422128259336,1.9450800915331807,7.118385991625428,2.74765003615329,3.5239361702127656,2.5525525525525525,2.183850604492631,7.118385991625428
ema_bike_split_pct_5,1.627019748653501,0.5764307081172519,1.561439239646979,0.5097706032285472,0.343112026076514,0.7941988950276244,1.092801387684302,2.3557126030624262,4.780010863661054,3.325942350332594,4.015837104072398,2.1604938271604937,2.5974025974025974,3.225806451612903,1.4138817480719794,1.3567293777134588,1.6030956329463792,1.4349775784753362,2.2842164388691257,1.9548063127690098,1.4406779661016949,2.1199388846447667,1.3806327900287632,1.8120045300113252,1.6051364365971106,2.1132221791392016,2.5412724911890185,2.5030278562777553,2.7417027417027415,2.466525722339676,3.1273836765827614,2.7027027027027026,2.3138105567606653,3.55718085106383,2.8528528528528527,2.1226216495022667,4.780010863661054
ema_t2_sec_5,1.2679533213644523,0.3846534822464665,1.052274270196877,0.8156329651656755,0.686224052153028,0.7941988950276244,1.1621856027753685,3.53356890459364,2.2813688212927756,1.7184035476718404,2.6018099547511313,3.7037037037037033,4.058441558441558,1.9153225806451613,1.8912963643040763,2.1526772793053546,2.0637552975861433,2.1524663677130045,2.4714472945141357,2.2058823529411766,2.1610169491525424,1.9098548510313216,2.722914669223394,2.0385050962627407,2.768860353130016,2.2295463357890655,2.207382674828418,2.6645135244247076,2.1645021645021645,2.2198731501057085,2.822273073989321,2.398172820708032,2.2415039768618943,1.5957446808510638,2.4774774774774775,2.1010116689923155,4.058441558441558
swim_form_trend,1.851436265709156,0.4599075838303247,1.5784114052953158,0.40781648258283776,0.3774232286841654,0.4143646408839779,0.6071118820468344,1.6489988221436984,2.552960347637154,1.9401330376940134,2.092760180995475,1.728395061728395,3.2467532467532463,4.737903225806452,1.138450238707308,1.2120115774240232,1.5478164731896076,1.5605381165919283,1.6850777008050926,2.9053084648493543,1.6101694915254237,1.9289533995416348,1.4573346116970278,2.1140052850132123,2.0064205457463884,1.7254749903063205,2.6525690966425524,1.6148566814695196,1.948051948051948,2.8893587033121917,3.8901601830663615,3.0072325846973733,2.7838033261026753,2.7925531914893615,3.078078078078078,1.9769314314313837,4.737903225806452
