==========================================================================================
Bundle: models/bundle_elite_v56.joblib  (version: v1.0)
  106 full features, 64 split features
==========================================================================================
              std_run_sec_24m     0.76%
               ema_t1t2_sec_5     0.71%
          ema_run_split_pct_5     0.71%
           ema_distance_match     0.71%
field_perf_ratio_gap_to_top10     0.71%
          avg_bike_gap_leader     0.70%
           ema_swim_pos_pct_7     0.68%
              seed_total_rank     0.68%
              ema_swim_pack_7     0.66%
                 h2h_win_rate     0.66%
        ema_swim_split_pct_12     0.65%

--- reg_swim  (top 40) ---
                     feature reg_swim
      field_depth_top10_mean    9.69%
             temperature_air    9.13%
                        wbgt    8.15%
                    humidity    7.07%
                  n_entrants    6.09%
   distance_category_encoded    4.13%
                   bike_laps    2.86%
              ema_swim_sec_5    2.20%
                    run_laps    2.11%
             ema_total_sec_5    1.92%
       field_elo_gap_to_top3    1.75%
                  elo_rating    1.63%
                   elo_races    1.61%
               ema_run_sec_5    1.53%
              ema_bike_sec_5    1.44%
h2h_n_unknown_field_athletes    1.42%
                  event_tier    1.24%
       h2h_n_opponents_faced    1.10%
          ema_swim_gap_sec_7    0.98%
         p90_swim_gap_leader    0.98%
       ema_swim_split_pct_12    0.98%
         ema_run_split_pct_5    0.89%
        std_swim_gap_sec_24m    0.89%
         avg_swim_gap_leader    0.87%
   n_athletes_within_100_elo    0.86%
      field_elo_gap_to_top10    0.86%
                  tier_delta    0.86%
        days_since_last_race    0.84%
              ema_t1t2_sec_5    0.81%
        ema_swim_split_pct_5    0.81%
    n_athletes_within_50_elo    0.79%
      ema_swim_behind_sec_12    0.75%
          h2h_n_shared_races    0.75%
                     wetsuit    0.74%
        min_swim_gap_sec_24m    0.70%
                ema_t2_sec_5    0.69%
         avg_bike_gap_leader    0.69%
                ema_t1_sec_5    0.62%
             ema_swim_pack_7    0.57%
            std_swim_sec_24m    0.57%

--- reg_bike  (top 40) ---
                            feature reg_bike
                    temperature_air    8.84%
             field_depth_top10_mean    8.79%
                               wbgt    6.94%
                           humidity    6.46%
                         n_entrants    5.75%
          distance_category_encoded    4.68%
                          bike_laps    2.85%
                    ema_total_sec_5    2.33%
                         elo_rating    2.05%
                           run_laps    1.81%
              field_elo_gap_to_top3    1.80%
                     ema_swim_sec_5    1.69%
                      ema_run_sec_5    1.62%
                     ema_bike_sec_5    1.57%
                          elo_races    1.42%
                         event_tier    1.26%
                avg_bike_gap_leader    1.24%
                ema_run_split_pct_5    1.10%
       h2h_n_unknown_field_athletes    1.09%
                         tier_delta    0.93%
               days_since_last_race    0.90%
              h2h_n_opponents_faced    0.85%
          n_athletes_within_100_elo    0.83%
               ema_bike_split_pct_5    0.79%
                       ema_t2_sec_5    0.79%
                           elo_peak    0.74%
      field_finish_pct_gap_to_top10    0.74%
