feature,ranker_lgbm,ranker_xgb,pct_total,reg_total,reg_swim,reg_bike,reg_run,middle_distance_swim,middle_distance_t1,middle_distance_bike,middle_distance_t2,middle_distance_run,middle_distance_total,sprint_swim,sprint_t1,sprint_bike,sprint_t2,sprint_run,sprint_total,standard_swim,standard_t1,standard_bike,standard_t2,standard_run,standard_total,super_sprint_swim,super_sprint_t1,super_sprint_bike,super_sprint_t2,super_sprint_run,super_sprint_total,mean_pct,max_pct
field_depth_top10_mean,0.0,0.7492562851770007,3.37609723160027,6.933610677760443,7.655172413793103,7.444253859348199,4.205110007097232,9.8888238736103,13.244296048970504,10.372040586245772,12.947976878612716,7.427536231884058,2.902621722846442,29.07723353513117,35.698488757832656,23.972478725330436,31.273712737127372,13.151364764267989,1.782328403488813,28.128128128128125,31.807557460070118,23.888470233609645,23.25718786923986,10.800405268490374,1.973448152134912,21.297602256699577,11.021411021411023,22.19261515036163,11.167315175097277,18.41168091168091,1.2376237623762376,13.783414455787875,35.698488757832656
days_since_last_race,1.4586348958913262,0.7397962834600331,1.5530047265361242,0.8667013347200554,0.6896551724137931,0.8576329331046313,1.4017033356990773,4.798127559976594,6.010016694490818,4.96054114994363,6.416184971098265,7.971014492753622,5.149812734082397,4.861493303980921,4.718024327312937,4.055766793409378,5.383920505871726,3.7602595915251005,2.882062950322336,4.384384384384385,4.752629528632645,4.408440090429541,4.391492713666798,3.1003039513677813,2.4398995335486187,0.9167842031029618,1.7901017901017902,1.5226494099733536,1.4396887159533074,2.0655270655270654,2.722772277227723,3.305452497435765,7.971014492753622
ema_bike_to_t2_pos_change_5,1.5365772185725421,0.5580950252907012,1.688048615800135,0.5720228809152366,0.3793103448275862,0.6861063464837049,0.7806955287437899,2.2235225277940316,2.893711741791875,3.9458850056369785,3.641618497109827,2.1135265700483092,7.9588014981273405,1.3392038158136121,1.234795429413933,1.6295491580662684,1.3911472448057813,1.8705859896926895,8.64618885096701,1.2812812812812813,1.227113361901052,1.5825169555388092,2.1071287908625442,2.188449848024316,4.592752063150341,2.926657263751763,3.6504036504036503,2.322040350209364,2.9571984435797662,3.418803418803419,7.982673267326732,2.6234326124107867,8.64618885096701
ema_run_sec_5,1.1580002226923505,1.05246505161687,1.0803511141120865,2.49609984399376,1.6206896551724137,1.7667238421955402,3.921220723917672,2.8086600351082502,2.337228714524207,2.4239007891770012,1.676300578034682,3.864734299516908,3.464419475655431,2.898550724637681,2.0457058606708443,3.1504617055947857,1.878952122854562,5.420881847680855,5.802047781569966,2.2622622622622623,2.3763147643163225,2.637528259231349,1.4966522252855454,3.728470111448835,4.377466810190168,1.4456981664315938,1.368901368901369,1.3703844689760183,0.7392996108949416,1.673789173789174,0.9900990099009901,2.4301374393662716,5.802047781569966
ema_swim_sec_5,1.6479233938314217,0.9537191590786767,0.8440243079000675,1.8374068296065176,2.1206896551724137,2.0583190394511153,1.8807665010645847,2.4575775307197194,2.11463550361714,3.0439684329199546,2.8901734104046244,2.0531400966183577,2.9962546816479403,3.6140157769216654,2.008846295613712,2.679703059931197,2.131887985546522,3.4166825730101165,4.626469472885855,3.7037037037037033,2.3568367744448775,3.7490580256217028,2.1662071681764474,2.958459979736576,4.341585934696806,1.622002820874471,1.2987012987012987,2.0936429387133613,1.7509727626459144,1.9230769230769231,1.9801980198019802,2.4296983889076014,4.626469472885855
ema_run_split_pct_5,2.0710388598151654,0.6495071720109507,1.350438892640108,0.6586930143872421,0.8965517241379309,0.9090909090909091,2.3066004258339246,2.7501462843768287,3.060656649972176,2.818489289740699,1.907514450867052,4.408212560386474,3.464419475655431,2.1830856723536964,1.7692591227423518,2.2089444142676085,1.4092140921409213,3.0158427180759686,2.1615472127417523,2.062062062062062,1.4218932606155044,1.7709118311981915,1.2209531311539976,2.7558257345491386,1.901686401148188,2.2214386459802538,3.7206037206037204,3.2736962314427105,2.9961089494163424,4.594017094017095,3.4653465346534658,2.3033482754218664,4.594017094017095
ema_perf_ratio_5,1.6924618639349738,0.5893163557781215,1.1141120864280891,0.7106950944704455,0.603448275862069,0.9262435677530018,0.63875088715401,1.8724400234055003,3.2832498608792435,2.818489289740699,2.832369942196532,3.140096618357488,3.3707865168539324,1.9079068060906257,1.566531514928124,2.009777294948398,1.7344173441734418,2.2332506203473943,2.540766021994691,1.4214214214214214,1.4218932606155044,1.7520723436322532,1.811736904293029,2.5126646403242145,2.2963760315751705,3.702397743300423,3.123903123903124,5.367339170156072,2.684824902723735,4.594017094017095,4.455445544554455,2.281587166639138,5.367339170156072
ema_bike_split_pct_5,2.137846564970493,0.8493106393018143,1.4179608372721135,0.7800312012480499,0.6206896551724138,0.7718696397941681,1.1533002129169623,2.984201287302516,3.8953811908736786,4.565952649379932,3.5260115606936417,3.864734299516908,3.651685393258427,1.3025133003118694,1.2900847769996313,2.136520007242441,1.4092140921409213,2.366863905325444,1.4789533560864618,1.7817817817817816,1.4803272302298403,1.9781461944235117,1.5360378101614809,1.9250253292806485,2.188733405095084,2.9619181946403383,2.9133029133029136,3.2356299961933765,2.840466926070039,2.7065527065527064,3.4034653465346536,2.230790722712073,4.565952649379932
ema_t1_sec_5,1.4586348958913262,0.6057762241865137,1.0297096556380825,1.0400416016640666,0.6724137931034483,0.7547169811320755,0.7274662881476224,2.2235225277940316,1.669449081803005,3.7767756482525368,2.312138728323699,1.2681159420289856,2.528089887640449,2.054668868097597,2.377441946185035,1.9554589896795218,2.619692863595303,2.3859515174651653,1.8581721653394008,1.8218218218218218,2.1425788858589794,2.223059532780708,2.2252855454903506,2.2897669706180346,3.0857552924291354,2.2919605077574046,2.211302211302211,1.7891130567186906,7.743190661478599,2.742165242165242,2.1658415841584158,2.130647707049918,7.743190661478599
avg_bike_gap_leader,1.0466540474334707,0.6099829614822782,0.675219446320054,0.7453631478592477,0.8275862068965517,1.2864493996569468,0.6564939673527325,4.095962551199532,2.337228714524207,3.5512965050732808,3.815028901734104,3.0797101449275366,1.9662921348314606,2.2564667033571824,1.382233689642462,2.6434908564186133,1.6260162601626018,2.863141820958198,0.9859689040576414,2.2622622622622623,1.5777171795870668,1.9781461944235117,2.0086648286727056,2.3505572441742655,1.112307140294223,3.5613540197461213,2.386802386802387,4.2634183479253895,2.8015564202334633,2.314814814814815,2.5371287128712874,2.1163005134095356,4.2634183479253895
ema_swim_split_pct_5,1.2248079278476784,0.6766877734433375,0.962187711006077,0.5893569076096377,1.5862068965517242,0.5831903945111492,1.1887863733144073,5.851375073142188,1.335559265442404,3.100338218714769,2.1965317919075145,1.932367149758454,2.3408239700374533,2.348192992111539,1.4375230372281607,1.5933369545536848,1.6260162601626018,2.3477762931857225,1.6306408797876375,2.6826826826826826,1.4218932606155044,1.9781461944235117,1.929893658920835,1.5602836879432624,1.0046645138141372,4.478138222849084,2.527202527202527,3.1214312904453747,3.8910505836575875,2.7065527065527064,3.650990099009901,2.1130527515623623,5.851375073142188
ema_t2_sec_5,1.7035964814608617,0.5025430334408015,1.0297096556380825,1.0053735482752644,0.5172413793103449,0.7547169811320755,1.2242725337118523,3.276770040959626,1.8920422927100722,3.100338218714769,3.4682080924855487,2.475845410628019,2.247191011235955,2.164740414602825,2.3405823811279025,2.136520007242441,2.2764227642276422,2.7486161481198703,1.8960940462646947,1.9619619619619622,2.4931827035449943,2.185380557648832,2.7766837337534462,2.593718338399189,1.829924650161464,1.904090267983075,2.211302211302211,2.6646364674533687,2.8015564202334633,1.9230769230769231,1.670792079207921,2.057326798581145,3.4682080924855487
ema_total_sec_5,0.812827079389823,0.6484904472064286,0.9284267386900743,3.1374588316866006,2.206896551724138,2.2298456260720414,1.98722498225692,1.579871269748391,1.001669449081803,1.8602029312288615,1.4450867052023122,1.570048309178744,2.902621722846442,2.9168959823885525,1.9535569480280135,3.476371537208039,2.2041553748870824,2.863141820958198,6.105422828972317,2.7227227227227226,2.18153486560187,2.392614920874152,1.8905080740448994,2.4721377912867273,4.2698241837100825,1.16361071932299,0.8424008424008425,1.1419870574800153,0.8560311284046693,0.6054131054131053,1.1138613861386137,2.047834255940499,6.105422828972317
ema_bike_sec_5,1.0021155773299186,0.5819871734405679,0.8777852802160702,1.3173860287744843,1.6379310344827587,1.6295025728987993,1.3662171753016323,3.159742539496782,2.2815804117974405,2.367531003382187,4.104046242774566,1.570048309178744,2.9962546816479403,2.5133003118693815,1.7508293402137856,3.041825095057034,2.2402890695573623,2.1569001717885095,3.7163443306788015,1.8418418418418416,2.395792754187768,2.4114544084400906,1.9102008664828671,2.188449848024316,3.4086831718693937,1.2693935119887165,1.4040014040014042,1.712980586220023,1.4785992217898831,1.745014245014245,0.8663366336633664,2.030463382045506,4.104046242774566
ema_t2_rank_pct_5,1.8149426567197418,0.5310769396395629,1.4854827819041188,0.7280291211648465,0.41379310344827586,0.6174957118353345,0.9403832505322923,3.510825043885313,1.7807456872565388,1.8038331454340473,3.641618497109827,4.1062801932367154,1.2172284644194757,1.83452577508714,1.566531514928124,1.8830345826543544,2.3848238482384825,2.3477762931857225,1.1376564277588168,1.6416416416416415,1.4803272302298403,2.015825169555388,2.875147695943285,2.127659574468085,1.2917115177610334,2.785613540197461,3.088803088803089,3.5020936429387133,3.813229571984436,3.0626780626780628,1.4851485148514851,2.02954717062875,4.1062801932367154
ema_swim_to_t1_pos_change_5,1.7035964814608617,0.4926719925258163,1.4348413234301147,0.62402496099844,0.3103448275862069,0.6346483704974271,0.7806955287437899,2.1650087770626096,3.951029493600445,2.4239007891770012,2.7745664739884393,3.5628019323671496,1.3108614232209739,1.9629425793432398,1.4190932546995945,1.9011406844106464,1.2827461607949413,1.8324107654132469,2.6924535456958667,1.4414414414414414,1.382937280872614,1.6955538809344386,1.654194564789287,2.492401215805471,1.3634732687477575,3.7729196050775737,3.088803088803089,2.2459078797106966,3.4241245136186773,3.0982905982905984,2.4752475247524752,1.9804862654148687,3.951029493600445
ema_t1_rank_pct_5,1.7926734216679656,0.5372221316464497,1.4179608372721135,0.4853527474432311,0.6379310344827587,0.30874785591766724,0.9226401703335699,2.984201287302516,2.337228714524207,1.5783540022547913,1.9653179190751446,2.475845410628019,1.0299625468164793,1.6143826820766833,1.3269443420567637,2.2089444142676085,1.7524841915085818,1.8896736018324107,1.1376564277588168,1.2212212212212212,1.889365017530191,2.279577995478523,2.126821583300512,2.4518743667679836,1.5069967707212055,3.1382228490832156,4.282204282204282,3.0072325846973733,3.6575875486381326,2.8133903133903133,3.341584158415842,1.9393420138811153,4.282204282204282
