event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,swimtime_sec_outlier,bike_speed_kmh_outlier,biketime_sec_outlier,bike_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,run_pace_s_per_km_outlier,t2time_sec_outlier,runtime_sec_outlier
131301,508222,69962,Chris Hammer,United States,FINISH,4.0,00:11:31,00:00:59,00:30:08,00:00:46,00:16:04,00:59:28,PTS5 Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,691.0,59.0,1808.0,46.0,964.0,3568.0,,,,False,691.0,3568.0,3568.0,3568.0,691.0,0.0,Unknown,,,,,,59:28,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
131301,508222,56517,Martin Schulz,Germany,FINISH,1.0,00:10:28,00:00:52,00:28:52,00:00:47,00:17:11,00:58:10,PTS5 Men,,Tokyo 2020 Paralympic Games,2021-08-24,Major Games,,,,628.0,52.0,1732.0,47.0,1031.0,3490.0,,,,False,628.0,3490.0,3490.0,3490.0,628.0,0.0,Unknown,,,,,,58:10,Tokyo 2020 Paralympic Games,False,False,False,False,False,False,False,False,False
155518,461254,96432,Bence Mocsari,Hungary,FINISH,1.0,00:11:24,00:00:24,00:30:34,00:00:30,00:18:55,01:01:45,PTS5 Men,,2021 World Triathlon Para Cup Alanya,2021-10-01,World Para Cup,,,,684.0,24.0,1834.0,30.0,1135.0,3705.0,,,,False,684.0,3705.0,3707.0,3707.0,684.0,-2.0,Unknown,,,,,,1:01:45,2021 World Triathlon Para Cup Alanya,False,False,False,False,False,False,False,False,False
155520,500567,96432,Bence Mocsari,Hungary,FINISH,2.0,00:12:13,00:00:46,00:29:47,00:00:43,00:18:35,01:02:04,PTS5 Men,,2021 World Triathlon Para Cup Alhandra,2021-10-30,World Para Cup,,,,733.0,46.0,1787.0,43.0,1115.0,3724.0,,,,False,733.0,3724.0,3724.0,3724.0,733.0,0.0,Unknown,,,,,,1:02:04,2021 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
162511,526354,96432,Bence Mocsari,Hungary,FINISH,6.0,00:10:48,00:01:08,00:28:54,00:00:55,00:18:13,00:59:56,PTS5 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,648.0,68.0,1734.0,55.0,1093.0,3596.0,,,,False,648.0,3596.0,3598.0,3598.0,648.0,-2.0,Unknown,,,,,,59:56,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526354,132155,Ronan Cordeiro,Brazil,FINISH,3.0,00:10:46,00:01:03,00:28:53,00:00:45,00:17:12,00:58:38,PTS5 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,646.0,63.0,1733.0,45.0,1032.0,3518.0,,,,False,646.0,3518.0,3519.0,3519.0,646.0,-1.0,Unknown,,,,,,58:38,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526354,69962,Chris Hammer,United States,FINISH,1.0,00:11:45,00:01:12,00:28:26,00:00:55,00:16:19,00:58:34,PTS5 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,705.0,72.0,1706.0,55.0,979.0,3514.0,,,,False,705.0,3514.0,3517.0,3517.0,705.0,-3.0,Unknown,,,,,,58:34,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
162511,526354,56517,Martin Schulz,Germany,FINISH,4.0,00:10:44,00:01:10,00:28:30,00:00:49,00:17:49,00:59:00,PTS5 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,644.0,70.0,1710.0,49.0,1069.0,3540.0,,,,False,644.0,3540.0,3542.0,3542.0,644.0,-2.0,Unknown,,,,,,59:00,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
163470,544230,96432,Bence Mocsari,Hungary,FINISH,3.0,00:10:47,00:01:04,00:28:59,00:00:43,00:17:38,00:59:11,PTS5 Men,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,647.0,64.0,1739.0,43.0,1058.0,3551.0,,,,False,647.0,3551.0,3551.0,3551.0,647.0,0.0,Sprint,86.26666666666667,86.95,211.6,41.403105232892464,25.726688901667625,59:11,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163470,544230,132155,Ronan Cordeiro,Brazil,FINISH,2.0,00:10:28,00:00:54,00:28:39,00:00:38,00:17:22,00:58:01,PTS5 Men,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,628.0,54.0,1719.0,38.0,1042.0,3481.0,,,,False,628.0,3481.0,3481.0,3481.0,628.0,0.0,Sprint,83.73333333333333,85.95,208.4,41.88481675392671,26.02601047120419,58:01,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163473,545485,132155,Ronan Cordeiro,Brazil,FINISH,3.0,00:10:30,00:01:01,00:34:38,00:01:10,00:18:01,01:05:21,PTS5 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,630.0,61.0,2078.0,70.0,1081.0,3921.0,,,,False,630.0,3921.0,3920.0,3920.0,630.0,1.0,Sprint,,,,,,1:05:21,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163473,545485,72818,Stefan Daniel,Canada,FINISH,2.0,00:10:29,00:01:07,00:32:58,00:01:11,00:17:21,01:03:09,PTS5 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,629.0,67.0,1978.0,71.0,1041.0,3789.0,,,,False,629.0,3789.0,3786.0,3786.0,629.0,3.0,Sprint,,,,,,1:03:09,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163473,545485,56517,Martin Schulz,Germany,FINISH,1.0,00:10:28,00:01:09,00:31:16,00:01:11,00:17:18,01:01:25,PTS5 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,628.0,69.0,1876.0,71.0,1038.0,3685.0,,,,False,628.0,3685.0,3682.0,3682.0,628.0,3.0,Sprint,,,,,,1:01:25,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
