event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,bike_pace_s_per_km_outlier,t2time_sec_outlier,runtime_sec_outlier,biketime_sec_outlier,bike_speed_kmh_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier
162511,526348,122421,Jules Ribstein,France,FINISH,1.0,00:10:44,00:02:22,00:31:33,00:01:40,00:22:26,01:08:43,PTS2 Men,,2021 World Triathlon Para Championships Abu Dhabi,2021-11-05,World Championships,,,,644.0,142.0,1893.0,100.0,1346.0,4123.0,,,,False,644.0,4123.0,4125.0,4125.0,644.0,-2.0,Unknown,,,,,,1:08:43,2021 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
163470,544238,22133,Mohamed Lahna,United States,FINISH,2.0,00:12:49,00:01:56,00:32:54,00:01:19,00:23:45,01:12:43,PTS2 Men,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,769.0,116.0,1974.0,79.0,1425.0,4363.0,,,,False,769.0,4363.0,4363.0,4363.0,769.0,0.0,Sprint,102.53333333333333,98.7,285.0,36.474164133738604,22.66398784194529,1:12:43,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163470,544238,91519,Lionel Morales,Spain,FINISH,1.0,00:11:31,00:02:25,00:32:10,00:01:24,00:22:17,01:09:47,PTS2 Men,sprint,2022 World Triathlon Para Series Yokohama,2022-05-14,World Para Series,750.0,20000.0,5000.0,691.0,145.0,1930.0,84.0,1337.0,4187.0,,,,False,691.0,4187.0,4187.0,4187.0,691.0,0.0,Sprint,92.13333333333334,96.5,267.4,37.30569948186529,23.180679792746115,1:09:47,2022 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
163473,545479,122421,Jules Ribstein,France,FINISH,1.0,00:10:58,00:01:50,00:37:24,00:01:51,00:22:49,01:14:53,PTS2 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,658.0,110.0,2244.0,111.0,1369.0,4493.0,,,,False,658.0,4493.0,4492.0,4492.0,658.0,1.0,Sprint,,,,,,1:14:53,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163473,545479,160752,Wim De Paepe,Belgium,FINISH,2.0,00:11:16,00:01:47,00:37:32,00:01:46,00:23:12,01:15:34,PTS2 Men,sprint,2022 World Triathlon Para Cup Besancon,2022-06-11,World Para Cup,,,,676.0,107.0,2252.0,106.0,1392.0,4534.0,,,,False,676.0,4534.0,4533.0,4533.0,676.0,1.0,Sprint,,,,,,1:15:34,2022 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
163485,545435,91519,Lionel Morales,Spain,FINISH,1.0,00:12:39,00:01:39,00:37:10,00:01:29,00:21:53,01:14:51,PTS2 Men,sprint,2022 World Triathlon Para Cup A Coruna,2022-06-19,World Para Cup,750.0,20800.0,5050.0,759.0,99.0,2230.0,89.0,1313.0,4491.0,,,,False,759.0,4491.0,4490.0,4490.0,759.0,1.0,Sprint,101.2,107.21153846153845,260.0,33.57847533632287,20.864690798206276,1:14:51,2022 World Triathlon Para Cup A Coruna,False,False,False,False,False,False,False,False,False
166221,553009,91519,Lionel Morales,Spain,FINISH,1.0,00:11:04,00:01:18,00:37:30,00:00:58,00:20:53,01:11:40,PTS2 Men,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,664.0,78.0,2250.0,58.0,1253.0,4300.0,,,,False,664.0,4300.0,4303.0,4303.0,664.0,-3.0,Sprint,88.53333333333333,100.0,250.6,36.0,22.369356,1:11:40,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553009,22133,Mohamed Lahna,United States,FINISH,3.0,00:12:24,00:01:11,00:35:49,00:00:53,00:22:20,01:12:35,PTS2 Men,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,744.0,71.0,2149.0,53.0,1340.0,4355.0,,,,False,744.0,4355.0,4357.0,4357.0,744.0,-2.0,Sprint,99.2,95.5111111111111,268.0,37.691949744067,23.42068450442066,1:12:35,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
166221,553009,106588,Maurits Morsink,Netherlands,FINISH,5.0,00:16:52,00:01:28,00:35:36,00:01:08,00:18:51,01:13:52,PTS2 Men,,2022 World Triathlon Para Series Montreal,2022-07-08,World Para Series,750.0,22500.0,5000.0,1012.0,88.0,2136.0,68.0,1131.0,4432.0,,,,False,1012.0,4432.0,4435.0,4435.0,1012.0,-3.0,Sprint,134.93333333333334,94.93333333333334,226.2,37.92134831460674,23.563226123595506,1:13:52,2022 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
163477,546889,122421,Jules Ribstein,France,FINISH,1.0,00:10:33,00:01:33,00:33:06,00:01:00,00:20:19,01:06:30,PTS2 Men,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,633.0,93.0,1986.0,60.0,1219.0,3990.0,,,,False,633.0,3990.0,3991.0,3991.0,633.0,-1.0,Sprint,84.4,101.84615384615384,243.8,35.34743202416919,21.963869184290033,1:06:30,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
