event_id,prog_id,event_name,event_date,prog_distance_category,cat_name,swim_distance,bike_distance,run_distance,a_swim,a_t1,a_bike,a_t2,a_run,a_total,a_status,a_pos,b_swim,b_t1,b_bike,b_t2,b_run,b_total,b_status,b_pos,a_swim_s,a_t1_s,a_bike_s,a_t2_s,a_run_s,a_total_s,b_swim_s,b_t1_s,b_bike_s,b_t2_s,b_run_s,b_total_s,d_swim,d_t1,d_bike,d_t2,d_run,d_total,year
173563,582024,2023 Americas Triathlon Para Championships Sarasota,2023-03-12,sprint,Continental Championships,425.0,18300.0,5000.0,00:07:46,00:01:08,00:40:56,00:00:42,00:15:29,01:08:30,FINISH,5,00:10:37,00:01:37,00:41:50,00:01:15,00:14:04,01:07:45,FINISH,4,466.0,68.0,2456.0,42.0,929.0,4110.0,637.0,97.0,2510.0,75.0,844.0,4065.0,-171.0,-29.0,-54.0,-33.0,85.0,45.0,2023
173647,582578,2023 World Triathlon Para Cup Long Beach,2023-07-14,sprint,World Para Cup,750.0,20000.0,5000.0,00:12:32,00:02:38,00:49:15,00:00:52,00:16:09,01:25:02,FINISH,3,00:14:59,00:02:53,00:43:05,00:01:10,00:14:08,01:16:13,FINISH,2,752.0,158.0,2955.0,52.0,969.0,5102.0,899.0,173.0,2585.0,70.0,848.0,4573.0,-147.0,-15.0,370.0,-18.0,121.0,529.0,2023
183649,624258,2023 World Triathlon Para Cup Taranto,2023-10-29,sprint,World Para Cup,750.0,21000.0,5000.0,00:11:55,00:00:47,00:56:26,00:00:38,00:14:59,01:28:30,FINISH,4,00:14:14,00:00:46,00:47:15,00:01:05,00:13:49,01:17:11,FINISH,2,715.0,47.0,3386.0,38.0,899.0,5310.0,854.0,46.0,2835.0,65.0,829.0,4631.0,-139.0,1.0,551.0,-27.0,70.0,679.0,2023
184797,628492,2024 Americas Triathlon Para Championships Miami,2024-03-08,sprint,Continental Championships,750.0,18110.0,4997.0,00:13:31,00:01:25,00:38:02,00:00:45,00:14:29,01:10:24,FINISH,5,00:15:21,00:01:23,00:32:14,00:00:57,00:13:36,01:02:06,FINISH,3,811.0,85.0,2282.0,45.0,869.0,4224.0,921.0,83.0,1934.0,57.0,816.0,3726.0,-110.0,2.0,348.0,-12.0,53.0,498.0,2024
185649,632005,2024 World Triathlon Para Cup Taranto,2024-06-08,sprint,World Para Cup,750.0,21000.0,5000.0,00:11:57,00:00:50,00:51:09,00:00:39,00:14:50,01:23:05,FINISH,2,00:14:20,00:00:42,00:43:56,00:00:49,00:13:38,01:13:27,FINISH,1,717.0,50.0,3069.0,39.0,890.0,4985.0,860.0,42.0,2636.0,49.0,818.0,4407.0,-143.0,8.0,433.0,-10.0,72.0,578.0,2024
183785,634240,2024 World Triathlon Para Series Montreal,2024-06-29,sprint,World Para Series,760.0,20200.0,5000.0,00:12:17,00:01:08,00:44:36,00:00:46,00:14:58,01:17:23,FINISH,7,00:14:09,00:01:21,00:37:55,00:00:55,00:13:52,01:08:12,FINISH,5,737.0,68.0,2676.0,46.0,898.0,4643.0,849.0,81.0,2275.0,55.0,832.0,4092.0,-112.0,-13.0,401.0,-9.0,66.0,551.0,2024
183787,635484,2024 World Triathlon Para Championships Torremolinos-Andalucia,2024-10-17,sprint,World Championships,750.0,19100.0,5000.0,00:12:38,00:03:04,00:43:25,00:01:07,00:14:29,01:18:21,FINISH,9,00:14:41,00:03:41,00:37:30,00:01:15,00:13:30,01:10:37,FINISH,6,758.0,184.0,2605.0,67.0,869.0,4701.0,881.0,221.0,2250.0,75.0,810.0,4237.0,-123.0,-37.0,355.0,-8.0,59.0,464.0,2024
188993,674970,2025 World Triathlon Para Championships Wollongong,2025-10-15,sprint,World Championships,750.0,20000.0,5000.0,00:11:34,00:01:25,00:51:38,00:00:47,00:15:48,01:24:50,FINISH,6,00:13:20,00:01:46,00:41:55,00:01:03,00:13:49,01:11:53,FINISH,2,694.0,85.0,3098.0,47.0,948.0,5090.0,800.0,106.0,2515.0,63.0,829.0,4313.0,-106.0,-21.0,583.0,-16.0,119.0,777.0,2025
195136,677513,2026 World Triathlon Para Series Yokohama,2026-05-16,sprint,World Para Series,750.0,17870.0,5000.0,00:11:53,00:01:41,00:34:31,00:00:44,00:13:36,01:06:03,FINISH,6,00:14:00,00:02:26,00:31:08,00:01:00,00:12:50,01:01:24,FINISH,2,713.0,101.0,2071.0,44.0,816.0,3963.0,840.0,146.0,1868.0,60.0,770.0,3684.0,-127.0,-45.0,203.0,-16.0,46.0,279.0,2026
