event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,para_subclass,time_factor_sec,time_factor_year,time_factor_applied,swimtime_sec_adjusted,total_time_sec_adjusted,sum_splits_sec,total_time_sec_raw,swimtime_sec_raw,time_factor_segment_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label,t2time_sec_outlier,runtime_sec_outlier,bike_speed_kmh_outlier,bike_pace_s_per_km_outlier,biketime_sec_outlier,swim_pace_s_per_100m_outlier,swimtime_sec_outlier,run_pace_s_per_km_outlier,t1time_sec_outlier
163477,546890,60937,Hailey Danz,United States,FINISH,1.0,00:12:09,00:02:18,00:36:56,00:01:24,00:24:50,01:17:34,PTS2 Women,sprint,2022 World Triathlon Para Series Swansea,2022-08-06,World Para Series,750.0,19500.0,5000.0,729.0,138.0,2216.0,84.0,1490.0,4654.0,,,,False,729.0,4654.0,4657.0,4657.0,729.0,-3.0,Sprint,97.2,113.64102564102564,298.0,31.678700361010833,19.68422572202166,1:17:34,2022 World Triathlon Para Series Swansea,False,False,False,False,False,False,False,False,False
165397,550700,166026,Anu Francis,Australia,FINISH,1.0,00:30:08,00:03:12,00:37:54,00:00:00,00:00:00,01:35:14,PTS2 Women,,2022 World Triathlon Para Cup Alhandra,2022-09-03,World Para Cup,,,,1808.0,192.0,2274.0,,,5714.0,,,,False,1808.0,5714.0,,,1808.0,,Unknown,,,,,,1:35:14,2022 World Triathlon Para Cup Alhandra,False,False,False,False,False,False,False,False,False
184628,560532,114644,Veronica Yoko Plebani,Italy,FINISH,4.0,00:14:04,00:04:09,00:41:59,00:01:33,00:30:28,01:32:12,PTS2 Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,844.0,249.0,2519.0,93.0,1828.0,5532.0,,,,False,844.0,5532.0,5533.0,5533.0,844.0,-1.0,Sprint,112.53333333333333,125.93740625937407,365.6,28.585629217943627,17.76228101278285,1:32:12,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560532,166026,Anu Francis,Australia,FINISH,3.0,00:15:10,00:03:06,00:37:08,00:01:04,00:24:50,01:21:17,PTS2 Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,910.0,186.0,2228.0,64.0,1490.0,4877.0,,,,False,910.0,4877.0,4878.0,4878.0,910.0,-1.0,Sprint,121.33333333333333,111.38886111388862,298.0,32.31921005385996,20.082219870377017,1:21:17,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
184628,560532,60937,Hailey Danz,United States,FINISH,1.0,00:12:28,00:02:11,00:37:21,00:01:25,00:25:45,01:19:08,PTS2 Women,sprint,2022 World Triathlon Para Championships Abu Dhabi,2022-11-24,World Championships,750.0,20002.0,5000.0,748.0,131.0,2241.0,85.0,1545.0,4748.0,,,,False,748.0,4748.0,4750.0,4750.0,748.0,-2.0,Sprint,99.73333333333333,112.03879612038797,309.0,32.131726907630515,19.96572328032128,1:19:08,2022 World Triathlon Para Championships Abu Dhabi,False,False,False,False,False,False,False,False,False
171973,576170,60937,Hailey Danz,United States,FINISH,1.0,00:12:02,00:01:47,00:34:48,00:01:24,00:23:18,01:13:19,PTS2 Women,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,4980.0,722.0,107.0,2088.0,84.0,1398.0,4399.0,,,,False,722.0,4399.0,4399.0,4399.0,722.0,0.0,Sprint,96.26666666666667,104.4,280.72289156626505,34.48275862068966,21.426586206896555,1:13:19,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
171973,576170,166026,Anu Francis,Australia,FINISH,4.0,00:14:22,00:02:45,00:35:51,00:01:21,00:23:06,01:17:25,PTS2 Women,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,4980.0,862.0,165.0,2151.0,81.0,1386.0,4645.0,,,,False,862.0,4645.0,4645.0,4645.0,862.0,0.0,Sprint,114.93333333333334,107.55,278.31325301204816,33.47280334728033,20.79902928870293,1:17:25,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
171973,576170,60938,Allysa Seely,United States,FINISH,3.0,00:13:05,00:02:07,00:34:38,00:01:47,00:23:59,01:15:36,PTS2 Women,sprint,2023 World Triathlon Para Series Yokohama,2023-05-13,World Para Series,750.0,20000.0,4980.0,785.0,127.0,2078.0,107.0,1439.0,4536.0,,,,False,785.0,4536.0,4536.0,4536.0,785.0,0.0,Sprint,104.66666666666667,103.9,288.95582329317267,34.64870067372474,21.529697786333017,1:15:36,2023 World Triathlon Para Series Yokohama,False,False,False,False,False,False,False,False,False
171981,576238,114644,Veronica Yoko Plebani,Italy,FINISH,1.0,00:13:58,00:01:30,00:45:17,00:02:24,00:26:20,01:29:31,PTS2 Women,sprint,2023 World Triathlon Para Cup Besancon,2023-06-17,World Para Cup,750.0,20000.0,5000.0,838.0,90.0,2717.0,144.0,1580.0,5371.0,,,,False,838.0,5371.0,5369.0,5369.0,838.0,2.0,Sprint,111.73333333333333,135.85,316.0,26.499815973500187,16.466217151269785,1:29:31,2023 World Triathlon Para Cup Besancon,False,False,False,False,False,False,False,False,False
174960,589246,60937,Hailey Danz,United States,FINISH,1.0,00:13:02,00:01:08,00:34:52,00:01:24,00:24:14,01:14:40,PTS2 Women,sprint,2023 World Triathlon Para Series Montreal,2023-07-08,World Para Series,773.0,20200.0,5000.0,782.0,68.0,2092.0,84.0,1454.0,4480.0,,,,False,782.0,4480.0,4480.0,4480.0,782.0,0.0,Sprint,101.16429495472185,103.56435643564357,290.8,34.76099426386233,21.5994737667304,1:14:40,2023 World Triathlon Para Series Montreal,False,False,False,False,False,False,False,False,False
