event_name,event_date,athlete_name,country,position,program
2025 Americas Triathlon Cup La Paz,2025-03-22,Angel Yael Yépez Meza,Mexico,30,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Sullivan Middaugh,United States,3,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Braxton Legg,United States,5,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Tiago Muñoz,Argentina,20,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Diego Ladera Querales,Peru,31,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Blake Bullard,United States,21,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Andrés Iván González Vargas,Mexico,45,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,José Luis Zazueta Lizárraga,Mexico,44,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Luis Miguel Chávez Sánchez,Mexico,47,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Raziel Geovanni Muñoz Tun,Mexico,36,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Jesus Daniel Hernández Bobadilla,Mexico,DNF,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Emilio Antonio Ibarra Veyna,Mexico,29,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Jorge Isaac Labra Sandoval,Mexico,38,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Jael Juárez Moron,Mexico,41,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Porter Middaugh,United States,10,Elite Men
2025 Americas Triathlon Cup La Paz,2025-03-22,Dante Alejandro Nava Romo,Mexico,DNF,Elite Men
