event_id,prog_id,athlete_id,full_name,country,finish_status,finish_position,swimtime,t1time,biketime,t2time,runtime,total_time,prog_name,prog_distance_category,event_name,event_date,cat_name,swim_distance,bike_distance,run_distance,swimtime_sec,t1time_sec,biketime_sec,t2time_sec,runtime_sec,total_time_sec,distance_panel,swim_pace_s_per_100m,bike_pace_s_per_km,run_pace_s_per_km,bike_speed_kmh,bike_speed_mph,total_time_fmt,event_label
183781,630326,83771,Kendall Gretsch H2,United States,FINISH,4.0,00:11:34,00:01:42,00:35:01,00:00:46,00:12:59,01:05:40,PTWC Women,sprint,2024 World Triathlon Para Series Yokohama,2024-05-11,World Para Series,,20000.0,5000.0,694.0,102.0,2101.0,46.0,779.0,3940.0,Sprint,,105.05,155.8,34.26939552594003,21.294008567348882,1:05:40,2024 World Triathlon Para Series Yokohama
183781,630326,132337,Leanne Taylor H1,Canada,FINISH,2.0,00:12:53,00:02:11,00:35:58,00:01:00,00:12:59,01:05:01,PTWC Women,sprint,2024 World Triathlon Para Series Yokohama,2024-05-11,World Para Series,,20000.0,5000.0,773.0,131.0,2158.0,60.0,779.0,3901.0,Sprint,,107.9,155.8,33.364226135310474,20.731562557924004,1:05:01,2024 World Triathlon Para Series Yokohama
183784,634138,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:11:33,00:02:20,00:39:38,00:00:40,00:15:45,01:13:36,PTWC Women,sprint,2024 World Triathlon Para Series Swansea,2024-06-22,World Para Series,750.0,19480.0,5000.0,693.0,140.0,2378.0,40.0,945.0,4416.0,Sprint,92.4,122.07392197125256,189.0,29.490328006728344,18.3244346038688,1:13:36,2024 World Triathlon Para Series Swansea
183784,634138,132337,Leanne Taylor H1,Canada,FINISH,1.0,00:12:50,00:02:40,00:41:42,00:00:50,00:14:18,01:12:21,PTWC Women,sprint,2024 World Triathlon Para Series Swansea,2024-06-22,World Para Series,750.0,19480.0,5000.0,770.0,160.0,2502.0,50.0,858.0,4341.0,Sprint,102.66666666666667,128.4394250513347,171.6,28.02877697841727,17.41626917985612,1:12:21,2024 World Triathlon Para Series Swansea
183785,634240,132337,Leanne Taylor H1,Canada,FINISH,2.0,00:13:40,00:01:41,00:36:13,00:00:55,00:13:18,01:05:47,PTWC Women,sprint,2024 World Triathlon Para Series Montreal,2024-06-29,World Para Series,760.0,20200.0,5000.0,820.0,101.0,2173.0,55.0,798.0,3947.0,Sprint,107.89473684210527,107.57425742574257,159.6,33.46525540727105,20.79433921767142,1:05:47,2024 World Triathlon Para Series Montreal
183785,634240,83771,Kendall Gretsch H2,United States,FINISH,1.0,00:12:02,00:01:11,00:34:42,00:00:45,00:13:16,01:05:34,PTWC Women,sprint,2024 World Triathlon Para Series Montreal,2024-06-29,World Para Series,760.0,20200.0,5000.0,722.0,71.0,2082.0,45.0,796.0,3934.0,Sprint,95.0,103.06930693069307,159.2,34.92795389048991,21.703217636887604,1:05:34,2024 World Triathlon Para Series Montreal
163894,658386,132337,Leanne Taylor H1,Canada,FINISH,3.0,00:14:31,00:01:43,00:41:07,00:00:50,00:14:00,01:12:11,PTWC Women,sprint,Paris 2024 Paralympic Games,2024-09-02,Major Games,750.0,20000.0,5000.0,871.0,103.0,2467.0,50.0,840.0,4331.0,Sprint,116.13333333333334,123.35,168.0,29.18524523713012,18.134865018240777,1:12:11,Paris 2024 Paralympic Games
163894,658386,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:12:41,00:01:13,00:36:28,00:00:33,00:13:13,01:07:46,PTWC Women,sprint,Paris 2024 Paralympic Games,2024-09-02,Major Games,750.0,20000.0,5000.0,761.0,73.0,2188.0,33.0,793.0,4066.0,Sprint,101.46666666666667,109.4,158.6,32.90676416819013,20.44730895795247,1:07:46,Paris 2024 Paralympic Games
163894,658386,122515,Lauren Parker H1,Australia,FINISH,1.0,00:13:19,00:01:48,00:36:39,00:00:49,00:13:48,01:06:23,PTWC Women,sprint,Paris 2024 Paralympic Games,2024-09-02,Major Games,750.0,20000.0,5000.0,799.0,108.0,2199.0,49.0,828.0,3983.0,Sprint,106.53333333333333,109.95,165.6,32.74215552523874,20.345025920873123,1:06:23,Paris 2024 Paralympic Games
194210,671136,122515,Lauren Parker H1,Australia,FINISH,1.0,00:13:04,00:02:02,00:38:42,00:01:25,00:13:31,01:08:45,PTWC Women,sprint,2025 World Triathlon Para Series Devonport,2025-03-14,World Para Series,750.0,20000.0,5000.0,784.0,122.0,2322.0,85.0,811.0,4125.0,Sprint,104.53333333333333,116.1,162.2,31.007751937984494,19.26731782945736,1:08:45,2025 World Triathlon Para Series Devonport
194191,674087,122515,Lauren Parker H1,Australia,FINISH,1.0,00:12:09,00:02:40,00:37:54,00:01:03,00:14:25,01:08:11,PTWC Women,sprint,2025 World Triathlon Para Series Yokohama,2025-05-17,World Para Series,750.0,21220.0,5000.0,729.0,160.0,2274.0,63.0,865.0,4091.0,Sprint,97.2,107.16305372290293,173.0,33.59366754617414,20.87413079683377,1:08:11,2025 World Triathlon Para Series Yokohama
194213,674443,122515,Lauren Parker H1,Australia,FINISH,1.0,00:12:02,00:01:32,00:37:54,00:00:48,00:13:56,01:06:12,PTWC Women,sprint,2025 World Triathlon Para Cup Magog,2025-07-12,World Para Cup,750.0,18900.0,5000.0,722.0,92.0,2274.0,48.0,836.0,3972.0,Sprint,96.26666666666667,120.31746031746033,167.2,29.920844327176777,18.59194496042216,1:06:12,2025 World Triathlon Para Cup Magog
194213,674443,83771,Kendall Gretsch H2,United States,FINISH,2.0,00:11:49,00:00:57,00:38:38,00:00:31,00:12:50,01:08:23,PTWC Women,sprint,2025 World Triathlon Para Cup Magog,2025-07-12,World Para Cup,750.0,18900.0,5000.0,709.0,57.0,2318.0,31.0,770.0,4103.0,Sprint,94.53333333333333,122.64550264550266,154.0,29.352890422778255,18.23903487489215,1:08:23,2025 World Triathlon Para Cup Magog
194208,674522,122515,Lauren Parker H1,Australia,FINISH,1.0,00:12:05,00:01:32,00:35:08,00:00:55,00:13:28,01:03:08,PTWC Women,sprint,2025 World Triathlon Para Series Montreal,2025-07-19,World Para Series,750.0,21500.0,5000.0,725.0,92.0,2108.0,55.0,808.0,3788.0,Sprint,96.66666666666667,98.04651162790698,161.6,36.71726755218216,22.81504525616698,1:03:08,2025 World Triathlon Para Series Montreal
194208,674522,83771,Kendall Gretsch H2,United States,FINISH,3.0,00:11:51,00:00:51,00:35:37,00:00:33,00:12:55,01:05:25,PTWC Women,sprint,2025 World Triathlon Para Series Montreal,2025-07-19,World Para Series,750.0,21500.0,5000.0,711.0,51.0,2137.0,33.0,775.0,3925.0,Sprint,94.8,99.3953488372093,155.0,36.21899859616285,22.505435376696305,1:05:25,2025 World Triathlon Para Series Montreal
